budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
40000000,Touchstone Pictures,USA,Christopher Nolan,Drama,53089891,The Prestige,PG-13,20-10-2006,130,8.5,Christian Bale,943597,Jonathan Nolan,2006,12750,363
90000000,Warner Bros.,USA,Martin Scorsese,Crime,132384315,The Departed,R,06-10-2006,151,8.5,Leonardo DiCaprio,962185,William Monahan,2006,254,18
0,Estudios Picasso,Spain,Guillermo del Toro,Drama,37634615,Pan's Labyrinth,R,19-01-2007,118,8.2,Ivana Baquero,511652,Guillermo del Toro,2006,3281,133
65000000,Warner Bros.,USA,Zack Snyder,Action,210614939,300,R,09-03-2007,117,7.7,Gerard Butler,648211,Zack Snyder,2006,97689,4492
225000000,Walt Disney Pictures,USA,Gore Verbinski,Action,423315812,Pirates of the Caribbean: Dead Man's Chest,PG-13,07-07-2006,151,7.3,Johnny Depp,567704,Ted Elliott,2006,1653,61
35000000,Warner Bros.,USA,Darren Aronofsky,Drama,10144010,The Fountain,PG-13,22-11-2006,96,7.3,Hugh Jackman,203187,Darren Aronofsky,2006,1509,86
76000000,Universal Pictures,USA,Alfonso Cuarón,Drama,35552383,Children of Men,R,05-01-2007,109,7.9,Julianne Moore,391981,Alfonso Cuarón,2006,8868,407
150000000,Columbia Pictures,UK,Martin Campbell,Action,167445960,Casino Royale,PG-13,17-11-2006,144,8,Daniel Craig,503887,Neal Purvis,2006,4656,185
40000000,Icon Entertainment International,USA,Mel Gibson,Action,50866635,Apocalypto,R,08-12-2006,139,7.8,Gerardo Taracena,252584,Mel Gibson,2006,13478,1280
35000000,Fox 2000 Pictures,USA,David Frankel,Comedy,124740460,The Devil Wears Prada,PG-13,30-06-2006,109,6.8,Anne Hathaway,308388,Aline Brosh McKenna,2006,21991,612
2000000,Wiedemann & Berg Filmproduktion,Germany,Florian Henckel von Donnersmarck,Drama,11286112,The Lives of Others,R,30-03-2007,137,8.5,Ulrich Mühe,285724,Florian Henckel von Donnersmarck,2006,1968,92
120000000,Pixar Animation Studios,USA,John Lasseter,Animation,244082982,Cars,G,09-06-2006,117,7.1,Owen Wilson,292006,John Lasseter,2006,4291,913
0,Twentieth Century Fox Film Corporation,USA,Mike Judge,Adventure,438653,Idiocracy,R,25-01-2007,84,6.6,Luke Wilson,118217,Mike Judge,2006,20776,977
50000000,Silent Hill DCP Inc.,Canada,Christophe Gans,Adventure,46982632,Terror en Silent Hill,R,21-04-2006,125,6.6,Radha Mitchell,189068,Roger Avary,2006,4872,198
55000000,Columbia Pictures Corporation,USA,Gabriele Muccino,Biography,163566459,The Pursuit of Happyness,PG-13,15-12-2006,117,8,Will Smith,369367,Steve Conrad,2006,11944,244
8000000,Fox Searchlight Pictures,USA,Jonathan Dayton,Comedy,59891098,Little Miss Sunshine,R,18-08-2006,101,7.8,Steve Carell,381001,Michael Arndt,2006,3545,100
0,Kaltenbach Pictures,Germany,Jessica Bendinger,Comedy,26870825,Pisando firme,PG-13,28-04-2006,103,6.4,Missy Peregrym,23787,Jessica Bendinger,2006,20942,1273
700000,Hunting Lane Films,USA,Ryan Fleck,Drama,2694973,Half Nelson,R,22-09-2006,106,7.2,Ryan Gosling,75238,Ryan Fleck,2006,1511,47
15000000,Craven-Maddalena Films,USA,Alexandre Aja,Horror,41778863,The Hills Have Eyes,R,10-03-2006,107,6.4,Ted Levine,139041,Wes Craven,2006,36,33
85000000,Columbia Pictures,USA,Nancy Meyers,Comedy,63224849,The Holiday,PG-13,08-12-2006,138,6.9,Kate Winslet,197811,Nancy Meyers,2006,4145,134
20000000,DreamWorks,USA,Andy Fickman,Comedy,2339735,She's the Man,PG-13,17-03-2006,105,6.4,Amanda Bynes,125579,Ewan Leslie,2006,1297,18
85000000,Universal Pictures,USA,Justin Lin,Action,62514415,The Fast and the Furious: Tokyo Drift,PG-13,16-06-2006,104,6,Lucas Black,199003,Chris Morgan,2006,6163,214
125000000,Columbia Pictures,USA,Ron Howard,Mystery,217536138,The Da Vinci Code,PG-13,19-05-2006,149,6.6,Tom Hanks,345008,Akiva Goldsman,2006,68,49
40000000,Columbia Pictures Corporation,USA,Sofia Coppola,Biography,15962471,Marie Antoinette,PG-13,20-10-2006,123,6.4,Kirsten Dunst,85914,Sofia Coppola,2006,1957,83
100000000,Warner Bros.,Germany,Edward Zwick,Adventure,57366262,Diamante de sangre,R,08-12-2006,143,8,Leonardo DiCaprio,430028,Charles Leavitt,2006,57,9
0,Googly Films,USA,Tarsem Singh,Adventure,2280348,The Fall,R,30-05-2008,117,7.9,Lee Pace,94912,Dan Gilroy,2006,3515,97
35000000,Fox 2000 Pictures,USA,Ridley Scott,Comedy,7458269,A Good Year,PG-13,10-11-2006,117,6.9,Russell Crowe,76333,Marc Klein,2006,19,7
0,Sidney Kimmel Entertainment,Germany,Nick Cassavetes,Biography,15229325,Sospechas mortales,R,12-01-2007,117,6.9,Emile Hirsch,91466,Nick Cassavetes,2006,11,2
45000000,Universal Pictures,USA,Spike Lee,Crime,88513495,Inside Man,R,24-03-2006,129,7.6,Denzel Washington,290361,Russell Gewirtz,2006,56,17
25000000,Paramount Pictures,France,Alejandro González Iñárritu,Drama,34302837,Babel,R,10-11-2006,143,7.5,Brad Pitt,257380,Guillermo Arriaga,2006,79847,2355
10000000,Twisted Pictures,USA,Darren Lynn Bousman,Horror,80238724,Saw III,R,27-10-2006,108,6.2,Tobin Bell,152336,Leigh Whannell,2006,60181,1264
16000000,New Line Cinema,USA,Jonathan Liebesman,Horror,39517763,The Texas Chainsaw Massacre: The Beginning,R,06-10-2006,91,5.9,Jordana Brewster,59869,Sheldon Turner,2006,1303,82
17000000,Universal Pictures,UK,Joe Carnahan,Action,35662731,Smokin' Aces,R,26-01-2007,109,6.7,Jeremy Piven,125910,Joe Carnahan,2006,1538,101
16000000,Bull's Eye Entertainment,USA,Neil Burger,Drama,39868642,The Illusionist,PG-13,01-09-2006,110,7.6,Edward Norton,316052,Neil Burger,2006,917,30
