name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
'71,0,Crab Apple Films,UK,Yann Demange,Action,1268760,R,10/10/2014,99,7.2,Jack O'Connell,40959,Gregory Burke,2014,3204,156,,1
[Rec] 2,5600000,Filmax,Spain,Jaume Balagueró,Horror,27766,R,23/10/2009,85,6.6,Jonathan D. Mellor,59366,Jaume Balagueró,2009,15,3,333256,1
[REC] 3: Genesis,6400000,Filmax,Spain,Paco Plaza,Horror,8973,R,13/04/2012,80,5,Leticia Dolera,28103,Luiso Berdejo,2012,7110,559,,0
10 Cloverfield Lane,15000000,Paramount Pictures,USA,Dan Trachtenberg,Drama,71897215,PG-13,11/03/2016,104,7.2,John Goodman,208655,Josh Campbell,2016,33421,1270,,1
10 Years,0,Anchor Bay Films,USA,Jamie Linden,Comedy,203373,PG-13,05/10/2012,100,6.1,Channing Tatum,20229,Jamie Linden,2011,680,16,70064,1
"10,000 BC",105000000,Warner Bros.,USA,Roland Emmerich,Action,94784201,PG-13,07/03/2008,109,5.1,Camilla Belle,114171,Roland Emmerich,2008,2316,185,1146004,2
12 horas para sobrevivir,9000000,Universal Pictures,France,James DeMonaco,Action,71962800,R,18/07/2014,103,6.5,Frank Grillo,110032,James DeMonaco,2014,12784,592,,0
12 Rounds,22000000,Fox Atomic,USA,Renny Harlin,Action,12232937,PG-13,27/03/2009,108,5.6,John Cena,24250,Daniel Kunka,2009,576,24,152147,1
12 Years a Slave,20000000,Regency Enterprises,USA,Steve McQueen,Biography,56671993,R,08/11/2013,134,8.1,Chiwetel Ejiofor,503763,John Ridley,2013,1058,97,,1
127 Hours,18000000,Pathé,USA,Danny Boyle,Adventure,18335230,R,28/01/2011,94,7.6,James Franco,299503,Danny Boyle,2010,1309,33,95931,1
13 Assassins,6000000,Sedic International,Japan,Takashi Miike,Action,802524,R,25/09/2010,141,7.6,Kôji Yakusho,54145,Kaneo Ikegami,2010,228,14,99851,1
13 Hours,50000000,Paramount Pictures,Malta,Michael Bay,Action,52853219,R,15/01/2016,144,7.3,John Krasinski,82656,Chuck Hogan,2016,14093,1119,,0
13 Sins,4000000,RADiUS-TWC,USA,Daniel Stamm,Horror,9134,R,11/04/2014,93,6.3,Mark Webber,26332,David Birke,2014,11854,1602,,2
1408,25000000,Dimension Films,USA,Mikael Håfström,Horror,71985628,PG-13,22/06/2007,104,6.8,John Cusack,226504,Matt Greenberg,2007,655,27,78592,0
16 Blocks,52000000,Alcon Entertainment,USA,Richard Donner,Action,36883539,PG-13,03/03/2006,102,6.6,Bruce Willis,116840,Richard Wenk,2006,463,50,305709,2
17 Again,20000000,New Line Cinema,USA,Burr Steers,Comedy,64167069,PG-13,17/04/2009,102,6.4,Zac Efron,155399,Jason Filardi,2009,62958,2548,13957882,1
2 Days in Paris,0,Polaris Film Production & Finance,France,Julie Delpy,Comedy,4432981,R,31/08/2007,96,6.8,Julie Delpy,27948,Julie Delpy,2007,412,18,320333,1
